CRN_KEY,SUBJ_CODE,CRSE_NUMBER,Credit_Hours,Semester,Title,Instructor_Name,Meet_Days1,Begin_Time1,End_Time1,Meet_Days2,Begin_Time2,End_Time2,Schedule_desc,Instructional_Method,Start_Date,End_Date,CRN_Attributes
22608,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Awbrey, Tachia M",MWF,800,850,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22611,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Olds, Carl B",TR,1215,1330,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22612,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Brezee, Scott S",MWF,1100,1150,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22613,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22614,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22615,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Wilson, Amber S",TR,800,915,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22616,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Peten, Audreka J",MWF,1300,1350,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22617,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22618,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Hicks, Ashley J",MWF,1300,1350,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22619,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22620,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22934,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Patel, Parisha P",MWF,1000,1050,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
23142,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Moseley, Louisa",MWF,1000,1050,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
23143,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Moseley, Louisa",MWF,1100,1150,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
23259,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Baldwin, Amy G",TR,925,1040,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
23261,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
23283,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
23299,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
23308,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
23312,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
23381,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Eslinger, Nadia C",TR,1050,1205,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
24002,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Olds, Carl B",MWF,1300,1350,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
24003,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Awbrey, Tachia M",TR,1440,1555,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
24008,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Massey, Marsha D",MWF,1100,1150,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
24175,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
24240,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
24251,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Bruce, Amanda E",MW,1500,1615,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
24538,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Thomas, Allen D",MW,1000,1115,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
25076,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Thiers, Geoffrey W",MWF,1100,1150,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
25373,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Gardner, Adriian F",TR,1215,1330,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
25551,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Ingram, Dedrick",MW,1605,1720,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
25578,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
25878,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Thiers, Geoffrey W",MWF,1000,1050,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
23876,ACAD,3101,1,Fall 2021,CAREER AND LIFE PLANNING,"Williams, Robyn",MW,1200,1250,,,,Activity Course,TRAD,8/19/2021,10/8/2021,
10043,ACCT,2310,3,Fall 2021,PRINC OF FINANCIAL ACCT,"Nelson, Steven K",MWF,1000,1050,,,,Lecture,TRAD,8/19/2021,12/10/2021,"5I01,BPRQ,CBCF"
10105,ACCT,2310,3,Fall 2021,PRINCIPLES ACCOUNTING I online,"Phillips, Ashley D",,0,2359,,,,Lecture,DEAS,8/19/2021,12/10/2021,"BPRQ,CBCF"
18873,ACCT,2310,3,Fall 2021,PRINC OF FINANCIAL ACCT,"Young, Laura J",TR,1215,1330,,,,Lecture,TRAD,8/19/2021,12/10/2021,"5I01,BPRQ,CBCF"
22343,ACCT,2310,3,Fall 2021,PRINC OF FINANCIAL ACCT,"Nelson, Steven K",MWF,900,950,,,,Lecture,TRAD,8/19/2021,12/10/2021,"5I01,BPRQ,CBCF"
22350,ACCT,2310,3,Fall 2021,PRINC OF FINANCIAL ACCT,"Nelson, Steven K",MW,1330,1445,F,1330,1445,Lecture,TRAD,8/19/2021,12/10/2021,"5I01,BPRQ,CBCF"
22354,ACCT,2310,3,Fall 2021,PRINC OF FINANCIAL ACCT,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"5I01,CBCF"
24331,ACCT,2310,3,Fall 2021,PRINC OF FINANCIAL ACCT,"Young, Laura J",TR,1050,1205,,,,Lecture,TRAD,8/19/2021,12/10/2021,"5I01,BPRQ,CBCF"
24615,ACCT,2310,3,Fall 2021,PRINCIPLES ACCOUNTING I online,"Schrock, John T",,0,2359,,,,Lecture,DEAS,8/19/2021,12/10/2021,"BPRQ,CBCF"
10118,ACCT,2311,3,Fall 2021,Princ. of Accounting II online,"McKnight, Constance A",,0,2359,,,,Lecture,DEAS,8/19/2021,12/10/2021,"BPRQ,CBCF"
10126,ACCT,2311,3,Fall 2021,PRINCIPLES OF ACCOUNTING II,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
10134,ACCT,2311,3,Fall 2021,Principles of Accounting II,"Simer, Joshua L",TR,1215,1330,,,,Lecture,TRAD,8/19/2021,12/10/2021,"BPRQ,CBCF"
20595,ACCT,2311,3,Fall 2021,PRINCIPLES OF ACCOUNTING II,"Cating, Ryan C",MWF,1000,1050,,,,Lecture,TRAD,8/19/2021,12/10/2021,"BPRQ,CBCF"
22337,ACCT,2311,3,Fall 2021,PRINCIPLES OF ACCOUNTING II,"Cating, Ryan C",MWF,1100,1150,,,,Lecture,TRAD,8/19/2021,12/10/2021,"BPRQ,CBCF"
22368,ACCT,2311,3,Fall 2021,PRINCIPLES OF ACCOUNTING II,"Ma, Mengyu",MW,1330,1445,F,1330,1445,Lecture,TRAD,8/19/2021,12/10/2021,"BPRQ,CBCF"
25310,ACCT,2311,3,Fall 2021,PRINCIPLES OF ACCOUNTING II,"McKnight, Constance A",,0,2359,,,,Lecture,DEAS,8/19/2021,12/10/2021,"BPRQ,CBCF"
25469,ACCT,2311,3,Fall 2021,PRINCIPLES OF ACCOUNTING II,"Ma, Mengyu",MWF,800,850,,,,Lecture,TRAD,8/19/2021,12/10/2021,"BPRQ,CBCF"
10186,ACCT,2321,3,Fall 2021,LEGAL ENVIRONMENT BUSINESS I,"Courtway, Thomas C",MWF,1100,1150,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
10214,ACCT,2321,3,Fall 2021,LEGAL ENVIRONMENT BUSINESS I,"McMullen, Anthony L",TR,925,1040,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
10221,ACCT,2321,3,Fall 2021,LEGAL ENVIRONMENT I online,"McMullen, Anthony L",,0,2359,,,,Lecture,DEAS,8/19/2021,12/10/2021,CBCF
22052,ACCT,2321,3,Fall 2021,LEGAL ENVIRONMENT BUSINESS I,"Courtway, Thomas C",MWF,900,950,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
22053,ACCT,2321,3,Fall 2021,LEGAL ENVIRONMENT of BUSINESS,"Courtway, Thomas C",MWF,1000,1050,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
22056,ACCT,2321,3,Fall 2021,LEGAL ENVIRONMENT BUSINESS I,"McMullen, Anthony L",TR,1050,1205,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
18779,ACCT,2376,3,Fall 2021,BUSINESS LAW for ENTREPRENEURS,"Bell, Richard L",TR,800,915,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
10231,ACCT,3311,3,Fall 2021,INTERMEDIATE ACCOUNTING I,"Oxner, Karen M",TR,925,1040,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
22602,ACCT,3311,3,Fall 2021,INTERMEDIATE ACCOUNTING I,"Oxner, Karen M",,0,2359,,,,Lecture,DEAS,8/19/2021,12/10/2021,CBCF
10245,ACCT,3312,3,Fall 2021,INTERMEDIATE ACCOUNTING II,"Young, Laura J",TR,800,915,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
23963,ACCT,3315,3,Fall 2021,COST ACCOUNTING,"Ma, Mengyu",MWF,900,950,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
10262,ACCT,3316,3,Fall 2021,INDIVIDUAL TAXATION,"Simer, Joshua L",TR,1050,1205,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
22583,ACCT,3316,3,Fall 2021,INDIVIDUAL TAXATION,"Simer, Joshua L",,0,2359,,,,Lecture,DEAS,8/19/2021,12/10/2021,CBCF
10277,ACCT,3320,3,Fall 2021,ACCOUNTING INFORMATION SYSTEMS,"Watson, Stephanie F",MWF,1100,1150,,,,Lecture,HYBR,8/19/2021,12/10/2021,CBCF
24641,ACCT,3V82,3,Fall 2021,INTERNSHIP IN ACCOUNTING,"Watson, Stephanie F",,0,2359,,,,Internship/Practicum,OTHER,8/19/2021,12/10/2021,CBCF
10292,ACCT,4304,3,Fall 2021,GOVERNMENT/NONPROFIT ACCT,"Lee, Sherelle A",TR,925,1040,,,,Lecture,TRAD,8/19/2021,12/10/2021,"BBAW,CBCF,PAPM"
22586,ACCT,4305,3,Fall 2021,ESTATE PLANNING,"Courtway, Thomas C",M,1500,1615,,,,Lecture,HYBR,8/19/2021,12/10/2021,CBCF
10301,ACCT,4312,3,Fall 2021,ADVANCED ACCOUNTING Online,"Wu, Qifeng",,0,2359,,,,Lecture,DEAS,8/19/2021,12/10/2021,CBCF
10309,ACCT,4315,3,Fall 2021,ADVANCED COST ACCOUNTING,"McKnight, Constance A",TR,1215,1330,,,,Lecture,TRAD,8/19/2021,12/10/2021,"BBAC,CBCF"
10314,ACCT,4316,3,Fall 2021,ADVANCED INCOME TAX,"Phillips, Ashley D",TR,1050,1205,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
10321,ACCT,4317,3,Fall 2021,AUDITING,"Cating, Ryan C",MWF,800,850,,,,Lecture,TRAD,8/19/2021,12/10/2021,"2C01,CBCF"
22055,ACCT,4390,3,Fall 2021,SPECIAL PROBLEMS,"Watson, Stephanie F",,1200,1315,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
24643,ACCT,4V82,3,Fall 2021,INTERNSHIP IN ACCOUNTING,"Watson, Stephanie F",,0,2359,,,,Internship/Practicum,OTHER,8/19/2021,12/10/2021,CBCF
25301,ACCT,4V91,1,Fall 2021,CERTIFICATIONS IN ACCOUNTING,", ",,0,2359,,,,Special Topics,DEAS,8/19/2021,12/10/2021,CBCF
10326,ACCT,5312,3,Fall 2021,ADVANCED ACCOUNTING,"Wu, Qifeng",,0,2359,,,,Lecture,DEAS,8/19/2021,12/10/2021,CBCF
10336,ACCT,5316,3,Fall 2021,ADVANCED INCOME TAX,"Phillips, Ashley D",TR,1050,1205,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
15050,ACCT,6304,3,Fall 2021,ADVANCED GOVERNMENT/NONPROFIT,"Lee, Sherelle A",TR,925,1040,,,,Lecture,TRAD,8/19/2021,12/10/2021,CBCF
10339,ACCT,6309,3,Fall 2021,TAX RESEARCH AND PLANNING,"Phillips, Ashley D",T,1800,1915,,,,Lecture,HYBR,8/19/2021,12/10/2021,CBCF
10349,ACCT,6310,3,Fall 2021,FINANCIAL ACCOUNTING SEMINAR,"Oxner, Karen M",T,1630,1745,,,,Lecture,HYBR,8/19/2021,12/10/2021,CBCF
22585,ACCT,6339,3,Fall 2021,ESTATE PLANNING,"Courtway, Thomas C",M,1500,1615,,,,Lecture,HYBR,8/19/2021,12/10/2021,CBCF
19635,ACCT,6350,3,Fall 2021,SEMINAR ACCT LEADERSHIP,"Nelson, Steven K",M,1630,1745,,,,Lecture,HYBR,8/19/2021,12/10/2021,CBCF
24018,ACCT,6V82,1,Fall 2021,INTERNSHIP IN ACCOUNTING,"Watson, Stephanie F",,,,,,,Internship/Practicum,OTHER,8/19/2021,12/10/2021,CBCF
24380,ACCT,6V82,1,Fall 2021,INTERNSHIP IN ACCOUNTING,"Watson, Stephanie F",,,,,,,Internship/Practicum,OTHER,8/19/2021,12/10/2021,CBCF
17835,AFAM,1330,3,Fall 2021,INTRO AFRICAN/A-A STUDIES,"Maefield, JaJuan J",TR,1050,1205,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1H01,1I06,AAMM,AFAM"
18909,AFAM,1330,3,Fall 2021,INTRO AFRICAN/A-A STUDIES,"Maefield, JaJuan J",TR,1215,1330,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1H01,1I06,AAMM,AFAM"
24211,AFAM,1330,3,Fall 2021,INTRO AFRICAN/A-A STUDIES,", ",,,,,,,Lecture,HYBR,8/19/2021,12/10/2021,"1H01,1I06,AAMM,AFAM"
25639,AFAM,1330,3,Fall 2021,INTRO AFRICAN/A-A STUDIES,"Kithinji, Michael M",,0,2359,,,,Lecture,DEAS,8/19/2021,12/10/2021,"1H01,1I06,AAMM,AFAM"
25642,AFAM,1330,3,Fall 2021,INTRO AFRICAN/A-A STUDIES,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1H01,1I06"
23918,ANTH,1302,3,Fall 2021,INTRODUCTION TO ANTHROPOLOGY,"McKinnon, Duncan P",,0,2359,,,,Lecture,DEAS,10/11/2021,12/10/2021,"1D02,1S01"
23926,ANTH,1302,3,Fall 2021,INTRODUCTION TO ANTHROPOLOGY,"Bowne, Eric E",TR,1050,1205,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1D02,1S01"
23928,ANTH,1302,3,Fall 2021,INTRODUCTION TO ANTHROPOLOGY,"Bowne, Eric E",TR,925,1040,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1D02,1S01"
24518,ANTH,1302,3,Fall 2021,INTRODUCTION TO ANTHROPOLOGY,"Bowne, Eric E",TR,800,915,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1D02,1S01"
24519,ANTH,1302,3,Fall 2021,INTRODUCTION TO ANTHROPOLOGY,"Frank, Adam D",TR,1050,1205,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1D02,1S01"
24521,ANTH,1302,3,Fall 2021,INTRODUCTION TO ANTHROPOLOGY,"McKinnon, Duncan P",,0,2359,,,,Lecture,DEAS,8/19/2021,12/10/2021,"1D02,1S01"
24528,ANTH,1302,3,Fall 2021,INTRODUCTION TO ANTHROPOLOGY,"McKinnon, Duncan P",,0,2359,,,,Lecture,DEAS,8/19/2021,10/8/2021,"1D02,1S01"
24524,ANTH,2300,3,Fall 2021,PEOPLES AND CULTURES,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,
25292,ANTH,2310,3,Fall 2021,BIOLOGICAL ANTHROPOLOGY,"McKinnon, Duncan P",TR,1215,1330,,,,Lecture,TRAD,8/19/2021,12/10/2021,
25291,ANTH,3310,3,Fall 2021,"MAGIC, RELIGION & WITCHCRAFT","McKinnon, Duncan P",TR,925,1040,,,,Lecture,TRAD,8/19/2021,12/10/2021,
23917,ANTH,3321,3,Fall 2021,QUALITATIVE RESEARCH METHODS,"Lom, Stacy E",TR,800,915,,,,Lecture,TRAD,8/19/2021,12/10/2021,"2C01,2I01"
24522,ANTH,3370,3,Fall 2021,FOOD AND CULTURE,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,
22349,ANTH,4370,3,Fall 2021,INTERNSHIP,"Wilson, Janet K",,0,2359,,,,Internship/Practicum,TRAD,8/19/2021,12/10/2021,ATMN
24533,ANTH,4380,3,Fall 2021,ANTHROPOLOGICAL THEORY,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,ATMN
25290,ANTH,4380,3,Fall 2021,ANTHROPOLOGICAL THEORY,"Bowne, Eric E",MWF,1100,1150,,,,Lecture,TRAD,8/19/2021,12/10/2021,ATMN
24530,ANTH,4395,3,Fall 2021,TOPICS: Music Across Cultures,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,ATMN
25289,ANTH,4395,3,Fall 2021,TOPICS: Anthropology of Piracy,"Bowne, Eric E",MWF,1000,1050,,,,Lecture,TRAD,8/19/2021,12/10/2021,ATMN
21107,ANTH,4V90,1,Fall 2021,SELECTED PROBLEMS ANTH (1),"Bowne, Eric E",,0,2359,,,,Independent Study/Research,TRAD,8/19/2021,12/10/2021,
21108,ANTH,4V90,2,Fall 2021,SELECTED PROBLEMS ANTH (2),"Bowne, Eric E",,0,2359,,,,Independent Study/Research,TRAD,8/19/2021,12/10/2021,
21109,ANTH,4V90,3,Fall 2021,SELECTED PROBLEMS ANTH (3),"Bowne, Eric E",,0,2359,,,,Independent Study/Research,TRAD,8/19/2021,12/10/2021,
21110,ANTH,4V90,1,Fall 2021,SELECTED PROBLEMS ANTH (1),"McKinnon, Duncan P",,0,2359,,,,Independent Study/Research,TRAD,8/19/2021,12/10/2021,
21111,ANTH,4V90,2,Fall 2021,SELECTED PROBLEMS ANTH (2),"McKinnon, Duncan P",,0,2359,,,,Independent Study/Research,TRAD,8/19/2021,12/10/2021,
21112,ANTH,4V90,3,Fall 2021,SELECTED PROBLEMS ANTH (3),"McKinnon, Duncan P",,0,2359,,,,Independent Study/Research,TRAD,8/19/2021,12/10/2021,
25420,ART,1210,2,Fall 2021,FOUNDATIONS SEMINAR I,"Rice, Leslie M",TR,800,915,,,,Seminar,TRAD,8/19/2021,12/10/2021,CAWF
25421,ART,1220,2,Fall 2021,FOUNDATIONS STUDIO A,"Meador, William S",TR,950,1130,,,,Studio Course,TRAD,8/19/2021,12/10/2021,"CAAS,CAWF"
25422,ART,1220,2,Fall 2021,FOUNDATIONS STUDIO A,"Meador, William S",TR,1140,1320,,,,Studio Course,TRAD,8/19/2021,12/10/2021,"CAAS,CAWF"
25424,ART,1220,2,Fall 2021,FOUNDATIONS STUDIO A,"Hornbrook, Jessie M",TR,1440,1620,,,,Studio Course,TRAD,8/19/2021,12/10/2021,"CAAS,CAWF"
25426,ART,1220,2,Fall 2021,FOUNDATIONS STUDIO A,"Rice, Leslie M",TR,1630,1820,,,,Studio Course,TRAD,8/19/2021,12/10/2021,"CAAS,CAWF"
25427,ART,1220,2,Fall 2021,FOUNDATIONS STUDIO A,"Pinckley, Donna L",,1140,1320,,,,Studio Course,TRAD,8/19/2021,12/10/2021,"CAAS,CAWF"
25428,ART,1230,2,Fall 2021,FOUNDATIONS STUDIO B,"Rice, Leslie M",MW,1140,1320,,,,Studio Course,TRAD,8/19/2021,12/10/2021,"CAAS,CAWF"
25429,ART,1230,2,Fall 2021,FOUNDATIONS STUDIO B,"Laws, Holly L",MW,1520,1700,,,,Studio Course,TRAD,8/19/2021,12/10/2021,"CAAS,CAWF"
25430,ART,1230,2,Fall 2021,FOUNDATIONS STUDIO B,"Rice, Leslie M",MW,1710,1850,,,,Studio Course,TRAD,8/19/2021,12/10/2021,"CAAS,CAWF"
25431,ART,1230,2,Fall 2021,FOUNDATIONS STUDIO B,"Rice, Leslie M",TR,1140,1320,,,,Studio Course,TRAD,8/19/2021,12/10/2021,"CAAS,CAWF"
25432,ART,1230,2,Fall 2021,FOUNDATIONS STUDIO B,"Rice, Leslie M",TR,1440,1620,,,,Studio Course,TRAD,8/19/2021,12/10/2021,"CAAS,CAWF"
13815,ART,1310,3,Fall 2021,2-D DESIGN,"Halter, Jimmy W",MW,800,1040,,,,Lecture,TRAD,8/19/2021,12/10/2021,"ARTS,CAAS,CAWF"
24846,ART,1310,3,Fall 2021,2-D DESIGN,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"ARTS,CAAS,CAWF"
24980,ART,1310,3,Fall 2021,2-D DESIGN,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"ARTS,CAAS,CAWF"
10015,ART,1321,3,Fall 2021,DRAWING I,"Halter, Jimmy W",MW,1100,1340,,,,Lecture,TRAD,8/19/2021,12/10/2021,"ARTS,CAWF"
24838,ART,1321,3,Fall 2021,DRAWING I,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"ARTS,CAWF"
24839,ART,1321,3,Fall 2021,DRAWING I,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"ARTS,CAWF"
24842,ART,1321,3,Fall 2021,DRAWING I,", ",,,,,,,Lecture,TRAD,8/19/2021,12/10/2021,"ARTS,CAWF"
